Title,As of,Rank,Year to Date Rank,Last Week Rank,Type,Netflix Exclusive,Netflix Release Date,Days_Top_10,Viewership Score
The Lost Daughter,1/5/22,8,8,-,Movie,Yes,31-Dec-21,5,26
The Five Juanas,10/15/21,6,6,-,TV Show,Yes,6-Oct-21,5,22
Going in Style,10/20/21,10,10,-,Movie,,11-Oct-21,5,8
Django Unchained,4/30/20,9,10,-,Movie,,25-Oct-14,5,8
The Last Letter From Your L…,7/29/21,10,7,-,Movie,Yes,23-Jul-21,5,23
Nightbooks,9/21/21,10,10,-,Movie,Yes,15-Sep-21,5,12
American Horror Story,11/19/20,10,10,-,TV Show,,15-Sep-14,5,17
Jerry Seinfeld: 23 Hours to…,5/10/20,8,8,-,Stand-Up Comedy,Yes,5-May-20,5,25
Alien Worlds,12/7/20,9,9,-,TV Show,Yes,2-Dec-20,5,17
Soul Surfer,5/22/20,9,9,-,Movie,,17-May-20,5,17
I Now Pronounce You Chuck a…,7/10/20,8,8,-,Movie,,1-Mar-18,5,15
Family Reunion,4/10/21,10,7,-,TV Show,Yes,10-Jul-19,5,22
1BR,8/29/20,10,6,-,Movie,,23-Aug-20,5,16
Braven,12/22/20,5,5,-,Movie,,17-Dec-20,5,27
Seinfeld,10/6/21,7,7,-,TV Show,,1-Oct-21,5,21
Secrets of the Saqqara Tomb,11/3/20,10,5,-,Movie,Yes,28-Oct-20,5,22
Major Grom: Plague Doctor,7/14/21,7,6,-,Movie,Yes,7-Jul-21,5,23
Bunkâd,9/1/20,8,8,-,TV Show,,19-Jun-16,5,24
The Last Blockbuster,3/22/21,10,10,-,Movie,,15-Mar-21,5,6
The Trial of the Chicago 7,10/21/20,8,5,-,Movie,Yes,16-Oct-20,5,32
30 Minutes or Less,1/7/21,9,8,-,Movie,,1-Jan-21,5,16
Athlete A,6/30/20,6,4,-,Movie,Yes,24-Jun-20,5,28
Bad Teacher,10/2/20,8,3,-,Movie,,27-Sep-20,5,32
Talladega Nights: The Balla…,7/9/21,9,8,-,Movie,,1-Jul-21,5,14
Car Masters: Rust to Riches,4/2/20,10,6,-,TV Show,Yes,14-Sep-18,5,15
Challenger: The Final Flight,9/21/20,9,9,-,TV Show,Yes,16-Sep-20,5,18
Worth,9/10/21,10,9,-,Movie,Yes,3-Sep-21,5,14
Monster,5/12/21,9,8,-,Movie,Yes,7-May-21,5,16
Ip Man 4: The Finale,7/27/20,10,7,-,Movie,,21-Jul-20,5,22
Single All the Way,12/7/21,10,7,-,Movie,Yes,2-Dec-21,5,13
Death to 2021,12/31/21,10,7,-,Movie,Yes,27-Dec-21,4,13
Untold,8/16/21,8,9,-,TV Show,Yes,10-Aug-21,4,11
Paradise PD,3/17/21,10,9,-,TV Show,Yes,31-Aug-18,4,8
Daughter From Another Mother,12/29/21,10,8,-,TV Show,Yes,20-Jan-21,4,9
Queen of the South,6/12/20,9,9,-,TV Show,,9-May-17,4,6
Malcolm & Marie,2/9/21,8,3,-,Movie,Yes,5-Feb-21,4,28
Arctic Dogs,5/8/20,8,8,-,Movie,,4-May-20,4,17
Major Payne,8/13/21,9,7,-,Movie,,1-Aug-21,4,11
Blackhat,2/21/22,8,9,-,Movie,,16-Feb-22,4,11
Canine Intervention,3/1/21,8,7,-,TV Show,Yes,24-Feb-21,4,10
Chappelleâs Show,11/8/20,7,7,-,TV Show,,1-Nov-20,4,16
Peter Rabbit 2,12/13/21,8,8,-,Movie,,9-Dec-21,4,19
Magnetic,6/22/20,10,8,-,Movie,,12-Jun-20,4,7
Clueless,6/6/20,10,7,-,Movie,,1-Jan-14,4,11
Magic for Humans,5/20/20,10,9,-,TV Show,Yes,17-Aug-18,4,9
Colombiana,10/9/20,10,9,-,Movie,,4-Oct-20,4,9
Baby Mama,6/25/20,9,9,-,Movie,,16-Dec-18,4,10
Biggie: I Got A Story to Tell,3/5/21,7,4,-,Movie,Yes,1-Mar-21,4,27
Ma Raineyâs Black Bottom,12/22/20,7,1,-,Movie,Yes,18-Dec-20,4,34
The Walking Dead,7/31/21,10,10,-,TV Show,,15-Sep-14,4,7
Cut Throat City,1/25/21,6,5,-,Movie,,20-Jan-21,4,25
Jiu Jitsu,3/25/21,9,8,-,Movie,,20-Mar-21,4,16
Annabelle: Creation,1/24/22,7,7,-,Movie,,20-Jan-22,4,15
Uncorked,4/1/20,10,9,-,Movie,Yes,27-Mar-20,4,15
Pieces of a Woman,1/11/21,7,6,-,Movie,Yes,7-Jan-21,4,24
Badland,4/1/20,9,8,-,Movie,,26-Mar-20,4,11
60 Days In,11/14/20,10,10,-,TV Show,,1-Nov-20,4,4
The Cook of Castamar,7/16/21,9,9,-,TV Show,Yes,9-Jul-21,4,8
Resident Evil: Infinite Dar…,7/12/21,10,9,-,TV Show,Yes,8-Jul-21,4,16
Squared Love,2/15/21,8,9,-,Movie,Yes,11-Feb-21,4,12
The Beast,12/1/20,8,5,-,Movie,Yes,27-Nov-20,4,14
The American Barbecue Showdown,9/25/20,9,8,-,TV Show,Yes,18-Sep-20,4,10
Absurd Planet,4/26/20,8,9,-,TV Show,Yes,22-Apr-20,4,9
A Week Away,3/31/21,10,10,-,Movie,Yes,26-Mar-21,4,11
A Thousand Words,7/7/20,9,8,-,Movie,,1-Jul-20,4,13
I Am a Killer Released,9/1/20,5,4,-,TV Show,Yes,28-Aug-20,4,28
Saving Private Ryan,4/9/21,8,6,-,Movie,,1-Apr-21,4,13
The Conjuring 2,2/25/21,10,8,-,Movie,,21-Feb-21,4,13
I Am Georgina,1/31/22,9,9,-,TV Show,Yes,27-Jan-22,4,9
Just Like Heaven,3/7/22,10,10,-,Movie,,1-Mar-22,4,8
Yogi Bear,10/6/20,10,8,-,Movie,,1-Oct-20,4,8
The Boss Baby: Get That Baby,9/6/20,8,9,-,Movie,Yes,1-Sep-20,4,12
Yasuke,5/3/21,9,9,-,TV Show,Yes,29-Apr-21,4,13
"Yes, God, Yes",10/26/20,10,10,-,Movie,,22-Oct-20,4,11
Immigration Nation,8/7/20,8,5,-,TV Show,Yes,3-Aug-20,4,20
Sophie: A Murder in West Cork,7/4/21,10,9,-,TV Show,Yes,30-Jun-21,4,12
Girlfriends,9/15/20,8,9,-,TV Show,,11-Sep-20,4,11
Sneakerheads,9/30/20,8,7,-,TV Show,Yes,25-Sep-20,4,12
The 2nd,12/4/20,10,3,-,Movie,,30-Nov-20,4,26
The Healer,6/5/20,8,7,-,Movie,,1-Jun-20,4,15
Murderville,2/8/22,9,9,-,TV Show,Yes,3-Feb-22,4,6
Sentinelle,3/9/21,5,3,-,Movie,Yes,5-Mar-21,4,30
Xtreme,6/9/21,8,8,-,Movie,Yes,4-Jun-21,4,12
His House,11/3/20,7,4,-,Movie,Yes,30-Oct-20,4,19
Tall Girl 2,2/15/22,8,5,-,Movie,Yes,11-Feb-22,4,23
Restless,3/2/22,10,5,-,Movie,Yes,25-Feb-22,4,18
Wentworth,10/4/20,8,8,-,TV Show,Yes,8-Nov-14,4,11
The Father Who Moves Mountains,9/23/21,6,6,-,Movie,Yes,17-Sep-21,4,18
Skylines,3/23/21,10,7,-,Movie,,18-Mar-21,4,9
After We Fell,1/21/22,9,4,-,Movie,,17-Jan-22,4,25
