,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
9195,s9196,Movie,Fort Defiance,John Rawlins,"Dane Clark, Peter Graves, Ben Johnson, Tracey Roberts, George Cleveland",,,1951,7+,82 min,"Drama, Western","The story of a young blind man, the brother he worships and a Civil War veteran who intends to kill the latter."
9196,s9197,Movie,Fools Rush In,Andy Tennant,"Matthew Perry, Jill Clayburgh, Salma Hayek, Jon Tenney, John Bennett Perry, Siobhan Fallon, Carlos Gomez",,,1997,PG-13,109 min,"Comedy, Drama, Romance",Sparks fly and cultures collide in this romantic comedy about a casual night of passion that turns into the love of a lifetime. Matthew Perry and Salma Hayek star.
9197,s9198,Movie,Flight Of The Phoenix (2004),John Moore,"Dennis Quaid, Giovanni Ribisi, Tyrese Gibson, Miranda Otto, Hugh Laurie",,,2004,PG-13,113 min,"Action, Adventure, Drama",HD. It's high tension among the dunes when a cargo jet crashes in the uninhabited Gobi desert leaving the crew desperate to find a way out.
9198,s9199,Movie,Flash of Genius,Marc Abraham,"Jake Abel, Aaron Abrams, Alan Alda, London Angelis, Dylan Authors, Warren Belle, Grant Boyle, Sergio Di Zio, Ashton Doudelet, Tim Eddis, Andrew Gillies, Lauren Graham, Josette Halpert, Tim Kelleher, Greg Kinnear, Victoria Learn, Isaac Lupien, Tatiana Maslany, Dermot Mulroney, Duane Murray, Landon Norris, Shae Norris, Kate Parr, Mitch Pileggi, Simon Reynolds, Daniel Roebuck, Chuck Shamata, Bill Smitrovich, Kristian Truelsen, Steven Woodworth, Jim Chad, Nicole Crozier",,,2008,PG-13,120 min,Drama,Academy Award nominee Greg Kinnear stars in this inspiring true story about an ordinary man and his extraordinary fight against one of the most powerful corporations in the country.
9199,s9200,Movie,First Shot,Armand Mastroianni,"Mariel Hemingway, Doug Savant, Jenna Leigh Green, Wanda Cannon",,,2002,PG-13,92 min,Action,The President of the United States is shot in a remote location and cannot be moved. Our secret service woman must protect him while trying to discover who did it.
9200,s9201,Movie,Fellini Forward,"DREA COOPER, ZACKARY CANEPARI","FRANCESCA FABBRI FELLINI, DANTE FERRETTI, MARCUS DU SAUTOY, EMILY L. SPRATT, HAVA ALDOUBY, BLASCO GIURATO, ANITA TODESCO, ANDREA MUNAFO, GIULIA BONOMELLI, SIMONE COPPO, NEVA LEONI, HAL YAMANUOCHI, CETTY ARANCIO, EVELINA MEGHNAGI, LUCA MASSARO, VALERIO MALORNI, PIETRO ROMANO, ZAGOR BORGHESI, MARCO CARBONI, GIANCARLO GRECO, GEBREMESKEK D YEMANE, ILARIA CECERE, FRANCESCO RIVISTA, VINCENZO IANTORNO, MARIANO APREA, NAV GHOTRA, LUCA CONTINO, BRAYAN GONZALEZ, SARA RENDANO, ALEJANDRA BURNE SOLEDAD",,,2021,7+,45 min,"Documentary, Special Interest","What is the future of creative genius? What if technology could revive an artist's legacy? Marrying both creativity and innovation in cinema with the most forward-looking technology, Campari has created the first short movie using A.I. to bring the creative genius of Federico Fellini to life. The full endeavour was captured in a one-of-a-kind documentary showcasing the process throughout."
9211,s9212,Movie,Duplicity,Tony Gilroy,"Clive Owen, Julia Roberts, Tom Wilkinson, Paul Giamatti, Dan Daily, Lisa Roberts Gillan, David Shumbris, Rick Worthy, Oleg Shtefanko, Denis O'Hare, Kathleen Chalfant, Khan Baykal, Thomas McCarthy, Wayne Duvall, Fabrizio Brienza, Lucia Grillo, Carrie Preston, Conan McCarty, Kirby Mitchell, Christopher Denham, Christopher Mann, Seth Kirschner, Karl Bury, Happy Anderson, James Cronin, Esther Pringle, Mary Anne Prevost, Annabel Seymour, Sandy Hamilton, Ulrich Thomsen, Helen Elswit, George Aloi, Sakinah Bingham, Maria Di Angelis, Cassidy Gard, Ronald E. Giles, Jeff Grossman, Moe Hindi, Emily Hughes, Michael Jeremiah, Edgar Jimz, Edward M. Kelahan, Arnold Y. Kim, Ashley Klein, Stanley Krajewski, Frosty Lawson, Evan Lewis, Kimberly Magness, Chris Margaritis, Cristina Marie, Michele Melega, Alexi Melvin, Eliezer Meyer, Christopher Moser, Andrea Osv??rt, Gina Priano, D. Justyn Ryan, Ken Sladyk, Brandon Slagle, Robert T. Striem, Nico Toffoli, Tamara Torres, Darly Wanatick","United States, Germany",,2009,PG-13,125 min,"Drama, Suspense",Julia Roberts and Clive Owen star as two sexy spies-turned-corporate operatives who put everything on the line to remain one double-cross ahead in a high-stakes game of cat-and-mouse.
9217,s9218,Movie,Dennis Gaxiola: Before the Wall Goes Up,Isaac Halasima,Dennis Gaxiola,,,2017,7+,47 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Dennis Gaxiola is one of America's funniest clean comedians. The preacher's son gained notoriety from his appearances with Jamie Foxx on Comedy Central, The Latin Kings of Comedy Tour with Paul Rodriguez, BET's Comic View, Que Locos and the 2010 season Martin Lawrence's First Amendment Stand Up."
9221,s9222,Movie,Corey Rodrigues: People Whisperer,Isaac Halasima,Corey Rodrigues,,,2018,7+,45 min,"Arts, Entertainment, and Culture, Comedy, Special Interest","Corey is a highly sought after national touring college, club and corporate and cruise ship performer. He was the winner of The Catch a New Rising Star, The Funniest Comic in New England and the 2017 Big Sky Comedy Festivals."
9222,s9223,Movie,Come Away Home,Doug McKeon,"Jordan-Claire Green, Lea Thompson, Paul Dooley",,,2005,PG,102 min,Drama,"Featuring an outstanding cast, this film is a genuine delight."
