,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
3762,s3763,Movie,Srinivasa Kalyanam,Satish Vegesna,"Nithin, Raashi Khanna, Nandita Swetha",India,,2018,ALL,139 min,"Drama, International","Vasu, an architect from a close-knit joint family and Sri, daughter of a billionaire businessman fall in love with each other. Both families agree to their marriage but Sri’s father who believes time is more important than relations and rituals makes Vasu sign a premarital agreement in return of his promise to be present wherever the father of the bride is needed in all the wedding activities."
3787,s3788,Movie,Raatchasi,Sy Gowthamraj,"Jyotika, Poornima Bhagyaraj, Satyan, Hareesh Peradi",India,,2019,ALL,133 min,"Drama, International, Kids","Geetha Rani, the new headmistress of a Government School, has to confront misbehaving students, lethargic faculty and non-existent routines. As she faces these difficulties, will she be able to reform the education system and the society?"
3819,s3820,Movie,Maharshi,Vamshi Paidipally,"Mahesh Babu, Allari Naresh, Pooja Hegde","India, United States",,2019,7+,177 min,"Action, Drama, International","Rishi, a millionaire businessman, returns to his homeland, where he becomes the champion of poor and downtrodden farmers. Directed by Vamsi Paidipally, Maharshi features Mahesh Babu and Pooja Hegde in central roles."
4132,s4133,Movie,Ninnu Kori,Shiva Nirvana,"Nani, Nivetha Thomas, Aadhi Pinisetty",India,,2017,ALL,136 min,"Drama, International, Romance",This story is about Uma and Pallavi. While Pallavi proposes to elope Uma resents due to his scholarship deadlines asks for one more year. Pallavi ends up getting married to her parent's choice. She heads to USA post marriage. After one year Uma also lands up in USA to meet Pallavi and proposes to marry her.
4505,s4506,Movie,Saina,Amole Gupte,"Parineeti Chopra, Manav Kaul, Meghna Malik, Shubhrajyoti Barat",India,,2021,ALL,134 min,"Drama, Sports",World Champion. Olympic Medallist. The Doyen Of Indian Badminton. Saina Nehwal Is All Of This And Much More. This Biopic Chronicles The Inspiring Story Of A Gifted Youngster's Ascendance To The Pinnacle Of The Badminton World Through Sheer Passion And Perseverance - A Journey That Has Since Inspired And Empowered An Entire Nation.
4636,s4637,Movie,Junooniyat,Vivek Agnihotri,"Pulkit Samrat, Yami Gautam, Hrishitaa Bhatt, Aneesha Joshi, Taran Bajaj, Manoj Bakshi, Madhuri D. Bandiwedkar, Manann Dania, Gulshan Devaiah, Jaquiline Garewal, Gurpreet Kaur, Ravi Khemu, Sanjay Mehandiratta, Anoop Singh, Herry Tangiri, Khushboo Upadhyay",India,,2016,ALL,122 min,"Drama, International, Romance","Captain Jahan Bakshi rescues a Punjabi girl, Suhani. This starts a friendship that evolves into a passionate love affair."
4638,s4639,Movie,Hindi Medium,Saket Chaudhary,"Irrfan Khan, Saba Qamar, Neha Dhupia, Amrita Singh, Deepak Dobriyal, Sanjana Sanghi, Rajesh Sharma, Tillotama Shome, Vijay Kumar Dogra, Sumit Gulati, Swati Das, Delzad Hiwale, Taran Bajaj, Angad Dev Dogra, Sanjay Suri, Rajiv Gupta, Charu Shankar, Mallika Dua, Fasih Safwi, Jaspal Sharma",India,,2017,ALL,132 min,"Comedy, Drama, International",A couple want to give their daughter the best education so she will be accepted by the elite.
4718,s4719,Movie,Rock On,Abhishek Kapoor,"Arjun Rampal, Farhan Akhtar, Luke Kenny, Purab Kohli, Prachi Desai, Shahana Goswami, Koel Purie, Nicolette Bird",India,,2008,ALL,145 min,"Arts, Entertainment, and Culture, Drama, International","Four talented friends(Farhan Akthar, Purab Kholi, Arjun Rampal and Luke Kenny) pursue their passion making it big as a band, only to fail. Years later, fate brings them together with a second chance. After struggling through the rough patches, Adi, Joe, KD and Rob eventually form the country's best band, Magic and rock the nation with their outstanding live performances."
4927,s4928,Movie,Ta Ra Rum Pum,Siddharth Anand,"Rani Mukerji, Saif Ali Khan, Shruti Seth, Victor Banerjee, Dolly Bindra, Jaaved Jaaferi, Angelina Idnani, Ali Haji","United States, India",,2007,ALL,156 min,"Drama, International, Kids","When RV (Saif Ali Khan) is spotted by Harry (Jaaved Jaafery) the Manager of a failing Racing car team, everything changes for RV and the team. They shoot to the top. The dream is complete when he meets Radhika (Rani Mukerji) and both tie the knot. But when he meets with an accident, he loses everything he had once gained. RV is on the road, but can he reclaim the glory for his family?"
5013,s5014,Movie,Nizhal,Appu N. Bhattathiri,"Kunchacko Boban, Nayanthara, Divya Prabha",India,,2021,ALL,124 min,Suspense,"John Baby, who is recouping from a traumatic accident, meets Nitin, a young boy who interests him with murder stories. When Baby explores the possibility of Nitin's stories by mapping the events, it matches with the real-time incidents."
